Area ID,State,City,AQI (%),WQI (%),Water Quantity (%),Soil Type,Population Density (%),Industry Distance (km),Pollution (%),Cost of Living,Hospitals Nearby,Schools Nearby,Stores Nearby,Livability Label
1,Maharashtra,Mumbai,85.0,45.0,40.0,Alluvial,95.0,5.0,88.0,21000,45,120,180,Not Suitable
2,Maharashtra,Pune,65.0,75.0,70.0,Black,85.0,15.0,60.0,18000,38,90,150,Suitable
3,Karnataka,Bengaluru,68.0,65.0,65.0,Red,90.0,8.0,82.0,19000,42,110,170,Not Suitable
4,Tamil Nadu,Chennai,82.0,70.0,60.0,Alluvial,88.0,10.0,85.0,17000,35,95,160,Suitable
5,Delhi,New Delhi,52.0,50.0,45.0,Alluvial,98.0,2.0,95.0,52000,50,130,200,Not Suitable
6,Gujarat,Ahmedabad,60.0,60.0,55.0,Alluvial,87.0,6.0,83.0,16000,32,85,155,Not Suitable
7,Uttar Pradesh,Lucknow,65.0,65.0,60.0,Alluvial,82.0,12.0,78.0,14000,28,75,140,Not Suitable
8,Rajasthan,Jaipur,70.0,55.0,50.0,Desert,80.0,20.0,72.0,13500,30,80,130,Suitable
9,Telangana,Hyderabad,78.0,72.0,68.0,Red,84.0,10.0,70.0,37500,40,105,165,Suitable
10,West Bengal,Kolkata,69.0,68.0,62.0,Alluvial,91.0,8.0,81.0,15500,36,88,158,Not Suitable
11,Andhra Pradesh,Visakhapatnam,82.0,85.0,80.0,Alluvial,75.0,18.0,45.0,24500,35,92,145,Suitable
12,Andhra Pradesh,Vijayawada,75.0,78.0,75.0,Black,78.0,15.0,58.0,22500,28,80,135,Suitable
13,Andhra Pradesh,Guntur,85.0,82.0,78.0,Black,70.0,20.0,38.0,21000,25,70,120,Suitable
14,Andhra Pradesh,Kurmanapalem,75.0,65.0,60.0,Red,82.0,5.0,68.0,20000,18,45,110,Suitable
15,Andhra Pradesh,Duvvada,72.0,60.0,58.0,Red,85.0,3.0,75.0,15800,15,40,105,Not Suitable
16,Andhra Pradesh,Gajuwaka,87.0,50.0,48.0,Red,88.0,4.0,82.0,26500,12,35,95,Suitable
17,Andhra Pradesh,Pendurthi,80.0,80.0,82.0,Alluvial,65.0,22.0,42.0,19800,30,85,150,Suitable
18,Telangana,Warangal,45.0,80.0,75.0,Red,72.0,16.0,48.0,12000,26,75,130,Suitable
19,Telangana,Khammam,50.0,75.0,70.0,Black,68.0,18.0,52.0,11500,22,68,125,Suitable
20,Telangana,Patancheru,88.0,40.0,35.0,Red,82.0,2.0,90.0,14800,10,30,85,Not Suitable
21,Telangana,Boduppal,38.0,82.0,84.0,Red,60.0,25.0,40.0,13200,32,90,155,Suitable
22,Telangana,Gachibowli,62.0,78.0,76.0,Red,79.0,12.0,55.0,29500,35,95,168,Suitable
23,Telangana,Secunderabad,60.0,70.0,65.0,Red,83.0,8.0,65.0,37000,33,88,160,Not Suitable
24,Telangana,Miyapur,48.0,75.0,72.0,Red,76.0,14.0,50.0,18200,30,82,155,Suitable
25,Telangana,Uppal,65.0,72.0,68.0,Red,80.0,10.0,58.0,16500,28,78,150,Suitable
26,Telangana,LB Nagar,58.0,68.0,65.0,Red,82.0,9.0,62.0,36000,25,75,145,Not Suitable
27,Telangana,Kukatpally,62.0,65.0,62.0,Red,85.0,7.0,68.0,37200,22,70,140,Not Suitable
28,Telangana,Alwal,50.0,75.0,70.0,Red,75.0,15.0,52.0,15500,26,80,148,Suitable
